"Date","XOM","GSPC","XLE","USO","VDE","BP"
2007-01-04,-0.0187558873231191,-0.000381787504464381,-0.0182043449304768,-0.0406883181907562,-0.0205479548082991,-0.0131858571195114
2007-01-05,0.00715066963441524,0,0.00666063674570827,0.00928472271122005,0.00761739868475741,-0.00215018853993987
2007-01-08,-0.00805567024285636,0.00935736638493956,0,-0.0071085090065437,0.00061958595243139,-0.0104663768148224
2007-01-09,-0.00770825235515027,-0.0126639446814484,-0.00858367612383715,-0.00400090528528507,-0.0106514762423525,-0.0287758963572422
2007-01-10,-0.0152586789780529,0,-0.0193001499160206,-0.0410147577381557,-0.0140209706878126,-0.0155348686317455
2007-01-11,-0.000140788650155321,0.00534689941647692,-0.00570163198897866,-0.0224867940368871,-0.00799904928735751,0.00195215468501875
2007-01-12,0.0236686310367094,0,0.0255271548427161,0.00654039242219207,0.0257263825642136,0.0495209995169115
2007-01-16,-0.0141757015496596,0,-0.0102813876647084,-0.0289043462042494,-0.010356893332499,-0.0210396203807363
2007-01-17,0.0115873517528462,0,0.0111172036791785,0.0203045916012921,0.010717519306072,0.00489888337087407
2007-01-18,-0.00690035675758027,0.00417483906272098,-0.00739005777633839,-0.0223880818094058,-0.00760979625418112,0.000314537515557989
2007-01-19,0.0218176781211563,-0.00642909625275534,0.0274196883554851,0.0277585010409438,0.0253927972400356,0.0143058650824757
2007-01-22,-0.00856789643215217,-0.00114007518333636,-0.00689294775837723,-0.0132793157776276,-0.00318747031709943,-0.00945438815877819
2007-01-23,0.0218106573985346,0.0114322731899927,0.0259833301754642,0.0412865419708028,0.0236134056852757,0.0204975852801634
2007-01-24,0.00550412695917668,0.00763703351266942,0.00433650434088584,0.00985752421215658,0.00600743571368367,-0.00245328805034484
2007-01-25,-0.01842462234391,-0.0018947878200859,-0.0205527246531585,-0.0180042957919433,-0.0198256633094445,-0.0216722258978143
2007-01-26,0.00122420902826792,-0.00190444998392747,0.00246869875989186,0.022310558869008,0.00243689879572884,0.00125683713335989
2007-01-29,-0.00556994549928935,0.00190808383415475,-0.00492521743104524,-0.0283059210956335,-0.00401111403487264,-0.0141220555914888
2007-01-30,0.0162568580382105,0,0.0203288095026175,0.0531465409573817,0.0208689228258971,0.012255249053797
2007-01-31,-0.00389838295306755,0,0.00641024892943709,0.0185811018036084,0.00514047410327967,-0.00141509471096046
2007-02-01,0.0132254267991045,0,0.00361505682847629,-0.00829191507910787,0.010347229333507,0.00393639183045025
2007-02-02,0.00612677683752061,0,0.0056604177662718,0.0313545150501673,0.00282525179650972,-0.00172516654360877
2007-02-05,0.00172091041775935,0,-0.00102339838757559,-0.00486424807458463,-0.00387370989039304,0.00219950938920621
2007-02-06,-0.00277519682347616,0,-0.00307323772938828,0.00224034632343573,-0.00117840337665709,-0.00846530391338607
2007-02-07,-0.00465794975176437,0,-0.00599415235699285,-0.0195082101099007,-0.00578108962160662,0.00363637022909602
2007-02-08,0.00895839481035443,0,0.0101654018383444,0.0310880829015545,0.0119853102716667,0.00031505711189328
2007-02-09,-0.00318046777884984,-0.00304469392334894,-0.00409349097042688,0.00482416080402004,-0.00644929219988144,-0.00944878733457766
2007-02-12,-0.00824252078732368,0,-0.013872202357923,-0.0324065400117407,-0.012864432171082,-0.0114467690178293
2007-02-13,0.0113940822844711,0.00267072243346012,0.0145883255000006,0.020467273526303,0.013749412521211,0.010131903661186
2007-02-14,0.00198809606161765,-0.00342203938985763,0.000171224147233362,-0.018435980177553,0.00330226174325188,0.000318417845675878
2007-02-15,-0.00343918108563035,-0.00152815829528175,-0.00753036999658596,-0.00206404536503524,-0.010697022847502,0.00413814005025759
2007-02-16,-0.000663604124340633,0,0.000172431549310792,0.0206825241233723,-0.000237688194200447,-0.00681566458278471
2007-02-20,-0.00557840693690159,-0.000384148683833407,-0.011206927230877,-0.0137791292311704,-0.00760637084072746,-0.00654325654641419
2007-02-21,-0.00120213584726803,0.000384296310755428,0.0109851923610467,0.0244504427553089,0.00958088449144623,-0.00210941584784585
2007-02-22,0.00401181718641341,0,0.00896860967940816,0.00942641377002795,0.0124554505885286,0.00471546305903403
2007-02-23,0.00186465857020579,0.00229269690668854,0.00256413019041291,0.00258289280417667,0.00175749145086379,0.0221718407129314
2007-02-26,0.00239298278810485,0,0.0059675796929195,0.00871983766785256,0.00807020609240161,0.0115579383400586
2007-02-27,-0.0473474614012931,-0.00152699619771857,-0.039830475388381,-0.0186640660642803,-0.0381714932714116,-0.0316168453086987
2007-02-28,-0.00208828952827533,-0.00229095074455909,0.00529566835828876,0.0246246041116196,0.000120650415653678,-0.00533371921332693
2007-03-01,-0.00962614869802803,0.0145467425556343,-0.00403862448436054,0.00117237202032028,-0.000603094657589232,-0.00779979534449504
2007-03-02,-0.013804710474193,0,-0.0118124609277341,-0.00448875860699605,-0.0173787437682796,-0.0158860506666929
2007-03-05,-0.000428486284663965,0,-0.011596734844643,-0.0272495403744184,-0.0122819965579679,-0.0214678122254973
2007-03-06,0.0145755450353593,0,0.0189530548946082,0.0141072352701983,0.020019913912718,0.0124149556637085
2007-03-07,0.00901406688947426,0.00528501775717816,0.0124003668090173,0.0192766494435612,0.0148726108609976,0.0193180262092727
2007-03-08,0.00293132011130903,0,0.00874890909356862,0,0.00420419636478853,0.00082398932843053
2007-03-09,-0.0101600040941032,0.000377227438206562,-0.00433652520561456,-0.0230064335541736,-0.00119616403138545,0.00757449214282957
2007-03-12,-0.00351518675534801,0,-0.00139375716655432,-0.0151666929721274,-0.00419159494063548,-0.00359531956985049
